,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,2061,1942,NES,1985.0,Shooter,Capcom,4.569217084,3.033887144,3.439352252,1.991671423,12.80293453
1,9137,¡Shin Chan Flipa en colores!,DS,2007.0,Platform,505 Games,2.076954756,1.493442103,3.033887144,0.394829814,7.03416282
2,14279,.hack: Sekai no Mukou ni + Versus,PS3,2012.0,Action,Namco Bandai Games,1.145708914,1.762339201,1.493442103,0.4086927576,4.982552036
3,8359,.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Role-Playing,Namco Bandai Games,2.031986358,1.389855676,3.228043158,0.394829814,7.226880369
4,7109,.hack//G.U. Vol.2//Reminisce,PS2,2006.0,Role-Playing,Namco Bandai Games,2.792725087,2.592054391,1.440483189,1.493442103,8.363112902
5,8604,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006.0,Role-Playing,Namco Bandai Games,2.456508556,1.435228137,3.167418536,0.4710760039,7.536613645
6,8306,.hack//G.U. Vol.3//Redemption,PS2,2007.0,Role-Playing,Namco Bandai Games,2.031986358,1.389855676,3.228043158,0.394829814,7.226880369
7,1565,.hack//Infection Part 1,PS2,2002.0,Role-Playing,Atari,4.286650112,4.032415974,3.652926352,2.959779171,14.93177161
8,9076,.hack//Link,PSP,2010.0,Role-Playing,Namco Bandai Games,2.076954756,1.493442103,3.033887144,0.394829814,7.03416282
9,3004,.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,3.53032403,3.285201572,3.390562088,2.186589283,12.39267697
10,4296,.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,Atari,3.033887144,2.792725087,3.228043158,1.781124175,10.83577956
11,8009,.hack//Quarantine Part 4: The Final Chapter,PS2,2003.0,Role-Playing,Atari,2.592054391,2.340739963,2.302032059,1.087976995,8.456194157
12,2576,[Prototype 2],X360,2012.0,Action,Activision,4.266030825,3.613705639,3.054532915,2.340739963,13.12728922
13,2742,[Prototype 2],PS3,2012.0,Action,Activision,3.978348752,3.727034324,0.8488073176,2.792725087,11.44798941
14,10598,[Prototype 2],PC,2012.0,Action,Activision,2.340739963,1.087976995,3.289260713,0.394829814,7.368438787
15,1505,[Prototype],X360,2009.0,Action,Activision,4.825646613,3.950177876,1.168471461,2.879736464,12.76497534
16,1604,[Prototype],PS3,2009.0,Action,Activision,4.569217084,4.108401881,1.187271606,3.339268793,13.18120523
17,3770,007 Racing,PS,2000.0,Racing,Electronic Arts,3.796027196,3.390562088,4.099309141,1.493442103,13.150085
18,1275,007: Quantum of Solace,X360,2008.0,Action,Activision,4.801549061,4.346073533,0.394829814,3.033887144,12.57633955
19,1741,007: Quantum of Solace,PS3,2008.0,Action,Activision,4.15602993,4.346073533,1.087976995,3.390562088,12.98064254
20,3040,007: Quantum of Solace,Wii,2008.0,Action,Activision,3.796027196,3.762125644,0.394829814,2.340739963,10.29372262
21,4501,007: Quantum of Solace,PS2,2008.0,Action,Activision,3.228043158,2.738800442,2.585598336,3.652926352,11.78025702
22,9320,007: Quantum of Solace,DS,2008.0,Action,Activision,2.792725087,0.394829814,2.854553714,0.394829814,6.529231308
23,14550,007: Quantum of Solace,PC,2008.0,Action,Activision,0.394829814,0.394829814,2.20747993,0.4225557012,3.66346124
24,1202,007: The World is not Enough,N64,2000.0,Action,Electronic Arts,5.122217633,4.032415974,1.087976995,1.493442103,11.7360527
25,2249,007: The World is not Enough,PS,2000.0,Action,Electronic Arts,4.326655447,3.950177876,3.340462342,2.186589283,14.06981605
26,421,007: Tomorrow Never Dies,PS,1999.0,Shooter,Electronic Arts,5.542324291,5.285178942,2.024664828,3.167418536,16.04898508
27,11233,1 vs. 100,DS,2008.0,Misc,DSI Games,2.474271356,1.473283477,3.07044578,0.394829814,7.419877015
28,16115,1/2 Summer +,PSP,2013.0,Adventure,Kaga Create,1.493442103,0.394829814,0.394829814,0.394829814,3.046998541
29,11414,10 Minute Solution,Wii,2010.0,Sports,Activision,2.186589283,0.394829814,2.350445531,0.394829814,5.453809896
30,3888,100 All-Time Favorites,DS,2009.0,Puzzle,Ubisoft,3.950177876,2.879736464,3.792856624,1.781124175,12.02829802
31,3008,100 Classic Books,DS,2008.0,Misc,Nintendo,2.959779171,4.346073533,2.075806605,1.087976995,11.11497662
32,13892,100 Classic Games,DS,2011.0,Misc,Rondomedia,2.176521756,1.493442103,2.702013783,0.4433501167,6.856284513
33,14635,1000 Cooking Recipes from ELLE à table,DS,2010.0,Misc,Nintendo,2.437787146,1.087976995,2.088055699,0.5791027321,5.961886843
34,5538,1001 Touch Games,DS,2011.0,Action,Avanquest,2.879736464,3.228043158,1.111198756,1.781124175,8.880023763
35,7712,101-in-1 Explosive Megamix,DS,2008.0,Puzzle,Nordcurrent,2.004267726,2.959779171,2.190798294,1.087976995,8.075912001
36,7115,101-in-1 Party Megamix Wii,Wii,2009.0,Misc,Nordcurrent,3.339268793,0.394829814,3.748889396,1.087976995,8.885592313
37,11310,101-in-1 Sports Megamix,DS,2010.0,Sports,Nordcurrent,2.474271356,1.473283477,3.07044578,0.394829814,7.419877015
38,14623,101-in-1 Sports Party Megamix,Wii,2010.0,Sports,Nordcurrent,1.087976995,1.246108387,3.333187933,0.394829814,6.124094873
39,839,1080°: TenEighty Snowboarding,N64,1998.0,Sports,Nintendo,5.223143551,4.505703678,2.959779171,2.004267726,14.69289413
40,15008,11eyes: CrossOver,X360,2009.0,Adventure,5pb,1.087976995,0.5924445156,1.087976995,0.394829814,3.509167809
41,15555,11eyes: CrossOver,PSP,2010.0,Adventure,5pb,1.087976995,0.5924445156,1.087976995,0.394829814,3.509167809
42,12237,12-Sai. Honto no Kimochi,3DS,2014.0,Adventure,Happinet,1.892811909,0.394829814,2.340739963,0.4433501167,5.284352124
43,14007,12-Sai. Koisuru Diary,3DS,2016.0,Adventure,Happinet,1.493442103,0.394829814,1.781124175,0.394829814,4.085703537
44,13692,12Riven: The Psi-Climinal of Integral,PS2,2008.0,Adventure,CyberFront,1.493442103,0.394829814,1.781124175,0.394829814,4.085703537
45,16543,15 Days,PC,2009.0,Adventure,DTP Entertainment,1.892811909,0.394829814,2.340739963,0.4433501167,5.284352124
46,5843,1701 A.D.,PC,2006.0,Simulation,Deep Silver,3.529232137,3.613705639,2.887150653,2.004267726,12.06188258
47,4832,18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,3.390562088,3.102880015,3.320183494,2.004267726,12.01742819
48,10077,18 Wheeler: American Pro Trucker,GC,2002.0,Racing,Acclaim Entertainment,2.592054391,1.087976995,3.820301179,1.450115808,9.376658024
49,15155,18 Wheels of Steel: Extreme Trucker,PC,2009.0,Racing,Rondomedia,2.437787146,1.087976995,2.088055699,0.5791027321,5.961886843
50,10160,18 Wheels of Steel: Extreme Trucker 2,PC,2011.0,Racing,Rondomedia,2.474271356,1.087976995,3.096921099,0.394829814,7.185399374
51,8896,187: Ride or Die,PS2,2005.0,Racing,Ubisoft,2.340739963,2.186589283,1.095700647,1.087976995,6.719818392
52,12255,187: Ride or Die,XB,2005.0,Racing,Ubisoft,2.004267726,0.394829814,2.270702993,0.394829814,5.252511521
53,9833,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005.0,Racing,THQ,2.592054391,1.493442103,2.480356287,0.4058159369,6.969890491
54,1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,THQ,5.231111721,4.244977416,2.313794716,1.493442103,13.56186386
55,1015,2 Games in 1: Disney Princess & The Lion King,GBA,2004.0,Misc,THQ,5.223143551,4.223471211,2.393640507,1.493442103,13.56224219
56,5750,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005.0,Action,THQ,3.485872267,2.474271356,5.253253978,0.394829814,11.45373887
57,946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005.0,Misc,THQ,5.270027137,4.286650112,2.376567307,1.493442103,13.82999673
58,3294,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005.0,Misc,THQ,4.179019448,3.167418536,3.584093615,0.394829814,11.74844353
59,12403,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005.0,Misc,Sega,1.781124175,1.087976995,2.784343992,0.394829814,6.146802583
60,4313,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005.0,Platform,THQ,3.891337375,2.879736464,3.906453659,0.394829814,11.58072671
61,3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004.0,Misc,Sega,4.083709268,2.792725087,4.356883168,1.087976995,12.32011095
62,9973,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013.0,Misc,Ubisoft,2.592054391,0.394829814,2.806745176,0.394829814,6.303836743
63,11057,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005.0,Platform,Activision,2.186589283,1.087976995,1.941165868,0.5542536656,5.745234095
64,3407,2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,3.439352252,3.228043158,3.167418536,2.186589283,12.02140323
65,7849,2002 FIFA World Cup,XB,2002.0,Sports,Electronic Arts,3.033887144,1.781124175,2.087760275,0.394829814,7.253708223
66,13267,2002 FIFA World Cup,GC,2002.0,Sports,Electronic Arts,1.781124175,0.394829814,2.666650104,0.394829814,5.56145784
67,1614,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,3.796027196,4.553712897,2.340739963,3.485872267,14.17635232
68,2426,2010 FIFA World Cup South Africa,X360,2010.0,Sports,Electronic Arts,3.860565717,4.15602993,1.087976995,2.592054391,11.69662703
69,4113,2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,2.592054391,3.572883644,1.493442103,2.879736464,10.5381166
70,4525,2010 FIFA World Cup South Africa,Wii,2010.0,Sports,Electronic Arts,3.53032403,3.102880015,0.394829814,1.781124175,8.809158034
71,2903,2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,3.102880015,4.05839146,0.394829814,3.167418536,10.72351983
72,4170,2014 FIFA World Cup Brazil,X360,2014.0,Sports,Electronic Arts,3.033887144,3.727034324,2.445074815,1.781124175,10.8579962
73,5861,24: The Game,PS2,2006.0,Adventure,Sony Computer Entertainment,3.102880015,2.879736464,3.473721376,1.781124175,11.24012226
